Size, Dirt Rate, Agent Type, Performance, Time
8, 0.8, Reflexive, 51, 0.0010104179382324219
8, 0.8, Random, 43, 0.0008425712585449219
8, 0.8, Reflexive, 51, 0.0010073184967041016
8, 0.8, Random, 38, 0.0008516311645507812
8, 0.8, Reflexive, 51, 0.001035451889038086
8, 0.8, Random, 40, 0.0008437633514404297
8, 0.8, Reflexive, 51, 0.0010089874267578125
8, 0.8, Random, 41, 0.0008475780487060547
8, 0.8, Reflexive, 51, 0.001032114028930664
8, 0.8, Random, 42, 0.0009508132934570312
16, 0.1, Reflexive, 16, 0.0010139942169189453
16, 0.1, Random, 8, 0.0008337497711181641
16, 0.1, Reflexive, 19, 0.001398324966430664
16, 0.1, Random, 8, 0.0009250640869140625
16, 0.1, Reflexive, 14, 0.0012507438659667969
16, 0.1, Random, 7, 0.0008821487426757812
16, 0.1, Reflexive, 22, 0.0010476112365722656
16, 0.1, Random, 13, 0.0008687973022460938
16, 0.1, Reflexive, 20, 0.0010399818420410156
16, 0.1, Random, 8, 0.0008680820465087891
16, 0.1, Reflexive, 13, 0.0010213851928710938
16, 0.1, Random, 6, 0.0008466243743896484
16, 0.1, Reflexive, 21, 0.0010383129119873047
16, 0.1, Random, 9, 0.0008597373962402344
16, 0.1, Reflexive, 19, 0.0010488033294677734
16, 0.1, Random, 8, 0.0010709762573242188
16, 0.1, Reflexive, 19, 0.0012676715850830078
16, 0.1, Random, 5, 0.001043558120727539
16, 0.1, Reflexive, 20, 0.0012822151184082031
16, 0.1, Random, 7, 0.0009713172912597656
16, 0.2, Reflexive, 32, 0.0010671615600585938
16, 0.2, Random, 14, 0.0008459091186523438
16, 0.2, Reflexive, 34, 0.0010242462158203125
16, 0.2, Random, 18, 0.0008521080017089844
16, 0.2, Reflexive, 38, 0.0010771751403808594
16, 0.2, Random, 16, 0.0008678436279296875
16, 0.2, Reflexive, 41, 0.0010275840759277344
16, 0.2, Random, 16, 0.0009791851043701172
16, 0.2, Reflexive, 40, 0.0010483264923095703
16, 0.2, Random, 13, 0.0008575916290283203
16, 0.2, Reflexive, 42, 0.0011491775512695312
16, 0.2, Random, 14, 0.0008769035339355469
16, 0.2, Reflexive, 45, 0.0012006759643554688
16, 0.2, Random, 13, 0.0011355876922607422
16, 0.2, Reflexive, 35, 0.0010342597961425781
16, 0.2, Random, 22, 0.0009016990661621094
16, 0.2, Reflexive, 38, 0.0010223388671875
16, 0.2, Random, 18, 0.0008428096771240234
16, 0.2, Reflexive, 38, 0.0010304450988769531
16, 0.2, Random, 20, 0.0008609294891357422
16, 0.4, Reflexive, 75, 0.0010235309600830078
16, 0.4, Random, 36, 0.0008504390716552734
16, 0.4, Reflexive, 69, 0.0010280609130859375
16, 0.4, Random, 37, 0.0008647441864013672
16, 0.4, Reflexive, 81, 0.0010328292846679688
16, 0.4, Random, 32, 0.0008585453033447266
16, 0.4, Reflexive, 91, 0.0012791156768798828
16, 0.4, Random, 35, 0.0008697509765625
16, 0.4, Reflexive, 66, 0.0010256767272949219
16, 0.4, Random, 24, 0.0011065006256103516
16, 0.4, Reflexive, 77, 0.0012233257293701172
16, 0.4, Random, 34, 0.0008382797241210938
16, 0.4, Reflexive, 74, 0.0010082721710205078
16, 0.4, Random, 32, 0.0008282661437988281
16, 0.4, Reflexive, 67, 0.0010666847229003906
16, 0.4, Random, 37, 0.0008594989776611328
16, 0.4, Reflexive, 78, 0.0010161399841308594
16, 0.4, Random, 33, 0.0008471012115478516
16, 0.4, Reflexive, 88, 0.0010442733764648438
16, 0.4, Random, 32, 0.000858306884765625
16, 0.8, Reflexive, 158, 0.0010135173797607422
16, 0.8, Random, 67, 0.0008656978607177734
16, 0.8, Reflexive, 113, 0.001035928726196289
16, 0.8, Random, 75, 0.0008656978607177734
16, 0.8, Reflexive, 114, 0.001081705093383789
